,neighbors,chemical_shift
44,"[['C', 1.3512760842901936, 0.419438, 6, 2.55, 12], ['F', 2.1761602620950713, -0.165822, 9, 3.98, 19], ['F', 2.174398232907029, -0.165822, 9, 3.98, 19], ['C', 2.3645237806248924, 0.0822147, 6, 2.55, 12], ['C', 2.9977419763478728, 0.0859638, 6, 2.55, 12], ['N', 2.9953227745631175, -0.196806, 7, 3.04, 14]]",261.007
45,"[['F', 2.1761602620950713, -0.165822, 9, 3.98, 19], ['C', 1.3477582696035157, 0.419438, 6, 2.55, 12], ['F', 2.175759820689046, -0.165822, 9, 3.98, 19], ['C', 2.367739696964792, 0.0822147, 6, 2.55, 12], ['C', 2.698893593873627, -0.0296661, 6, 2.55, 12], ['H', 2.3234531728612433, 0.0638221, 1, 2.2, 1]]",280.164
46,"[['F', 2.174398232907029, -0.165822, 9, 3.98, 19], ['C', 1.35155762920243, 0.419438, 6, 2.55, 12], ['F', 2.175759820689046, -0.165822, 9, 3.98, 19], ['C', 2.364412243057647, 0.0822147, 6, 2.55, 12], ['C', 2.9793720985709875, 0.0859638, 6, 2.55, 12], ['N', 2.9632280721759723, -0.196806, 7, 3.04, 14], ['C', 2.9912883852254586, 0.0414548, 6, 2.55, 12]]",261.806
47,"[['C', 2.735889535240832, -0.0500811, 6, 2.55, 12], ['C', 2.371836595459235, 0.0554468, 6, 2.55, 12], ['C', 1.349526079285082, 0.41744, 6, 2.55, 12], ['F', 2.177824686724202, -0.165902, 9, 3.98, 19], ['F', 2.1799197318137624, -0.165902, 9, 3.98, 19], ['H', 2.383976418762855, 0.0623044, 1, 2.2, 1]]",283.985
48,"[['C', 2.3647332026617534, 0.0554468, 6, 2.55, 12], ['C', 2.9802050933465707, -0.0404138, 6, 2.55, 12], ['C', 1.3514995644681707, 0.41744, 6, 2.55, 12], ['F', 2.177824686724202, -0.165902, 9, 3.98, 19], ['F', 2.1687682227619947, -0.165902, 9, 3.98, 19], ['H', 2.8947731503845007, 0.0629722, 1, 2.2, 1]]",255.05
49,"[['C', 2.3630959001963454, 0.0554468, 6, 2.55, 12], ['C', 2.896061676707012, -0.0404138, 6, 2.55, 12], ['C', 1.35187481123354, 0.41744, 6, 2.55, 12], ['F', 2.1799197318137624, -0.165902, 9, 3.98, 19], ['F', 2.1687682227619947, -0.165902, 9, 3.98, 19], ['H', 2.735583785096291, 0.0629722, 1, 2.2, 1]]",258.894
50,"[['C', 2.334724418372895, -0.0241735, 6, 2.55, 12], ['C', 1.3336177918208534, 0.153448, 6, 2.55, 12], ['C', 2.3970232225336394, 0.161158, 6, 2.55, 12], ['N', 2.9028614135439033, 0.0592666, 7, 3.04, 14], ['O', 2.59850412231852, -0.126049, 8, 3.44, 16], ['H', 2.5359331234533777, 0.0646815, 1, 2.2, 1]]",297.377
51,"[['O', 2.9313131250664504, 0.0, 8, 3.44, 16], ['S', 2.6381858965539107, 0.0, 16, 2.58, 32], ['O', 2.9855293096297535, 0.0, 8, 3.44, 16], ['C', 1.3307363771763936, 0.0, 6, 2.55, 12], ['F', 2.1786981064016717, 0.0, 9, 3.98, 19], ['F', 2.1779161214022396, 0.0, 9, 3.98, 19]]",272.31
52,"[['S', 2.604265135616825, 0.0, 16, 2.58, 32], ['C', 1.332641900008615, 0.0, 6, 2.55, 12], ['F', 2.1786981064016717, 0.0, 9, 3.98, 19], ['F', 2.1767452022375533, 0.0, 9, 3.98, 19]]",276.114
53,"[['O', 2.924552717804609, 0.0, 8, 3.44, 16], ['S', 2.6440783777969012, 0.0, 16, 2.58, 32], ['C', 1.3365246891682179, 0.0, 6, 2.55, 12], ['F', 2.1779161214022396, 0.0, 9, 3.98, 19], ['F', 2.1767452022375533, 0.0, 9, 3.98, 19], ['H', 2.5509631293895603, 0.0, 1, 2.2, 1]]",275.003
54,"[['C', 2.772927297820149, -0.0500792, 6, 2.55, 12], ['C', 2.3680502229526303, 0.0555249, 6, 2.55, 12], ['C', 1.3524454277372489, 0.417441, 6, 2.55, 12], ['F', 2.180296540908338, -0.165902, 9, 3.98, 19], ['F', 2.1731472148878384, -0.165902, 9, 3.98, 19], ['H', 2.461637285391474, 0.0623044, 1, 2.2, 1]]",275.625
