,neighbors,chemical_shift
154,"[['C', 1.3488237118598934, 0.418269, 6, 2.55, 12]]",263.365
155,"[['C', 1.3430862596795128, 0.135804, 6, 2.55, 12]]",292.691
156,"[['C', 1.3480256841558302, 0.420059, 6, 2.55, 12]]",259.553
157,"[['C', 1.3497647090772276, 0.420059, 6, 2.55, 12]]",278.878
158,"[['C', 1.3488780139275922, 0.420059, 6, 2.55, 12]]",257.905
159,"[['C', 1.33611063743693, 0.138554, 6, 2.55, 12]]",288.048
160,"[['C', 1.351774145516654, 0.417477, 6, 2.55, 12]]",249.941
161,"[['C', 1.3496741921128805, 0.417477, 6, 2.55, 12]]",272.551
162,"[['C', 1.3486239494124144, 0.417477, 6, 2.55, 12]]",276.545
163,"[['B', 1.4144175699970214, 0.0, 5, 2.04, 11]]",349.625
164,"[['B', 1.3736210042905392, 0.0, 5, 2.04, 11]]",351.706
165,"[['B', 1.4312424801640005, 0.0, 5, 2.04, 11], ['H', 1.8001710880862987, 0.0, 1, 2.2, 1]]",343.014
166,"[['B', 1.425462167470817, 0.0, 5, 2.04, 11]]",350.871
167,"[['C', 1.340699887268055, 0.152205, 6, 2.55, 12]]",298.236
168,"[['C', 1.3425357575610632, 0.152205, 6, 2.55, 12]]",301.007
169,"[['C', 1.3299867272648158, 0.540199, 6, 2.55, 12]]",273.046
170,"[['C', 1.3379837314974516, 0.540199, 6, 2.55, 12]]",272.528
171,"[['C', 1.3241206703999306, 0.540199, 6, 2.55, 12]]",268.321
172,"[['C', 1.325661529705211, 0.540199, 6, 2.55, 12]]",262.743
173,"[['C', 1.3259617472987186, 0.540199, 6, 2.55, 12]]",261.401
174,"[['C', 1.330071708242077, 0.540199, 6, 2.55, 12]]",265.633
175,"[['C', 1.3457823057035874, 0.123439, 6, 2.55, 12]]",288.796
176,"[['C', 1.3497661012248312, 0.123834, 6, 2.55, 12]]",295.401
177,"[['C', 1.374451251399674, 0.264498, 6, 2.55, 12], ['H', 1.9913364059419663, 0.107153, 1, 2.2, 1]]",307.95
178,"[['C', 1.365649793184278, 0.264498, 6, 2.55, 12], ['H', 1.993157034482603, 0.107153, 1, 2.2, 1]]",331.281
179,"[['C', 1.3523223912286997, 0.41743, 6, 2.55, 12]]",273.132
180,"[['C', 1.3510487011775099, 0.41743, 6, 2.55, 12]]",276.485
